age,gender,income,privacy_risk,financial_risk,product_risk,perceived_risk,perceived_value,engagement,satisfaction,repeat_purchase,privacy_proxy,financial_proxy,product_proxy,price_sensitivity,discount_sensitivity,purchase_amount,basket_size,return_rate,channel_used,time_on_page,bounce_rate,ctr,time_to_first_action,switching_freq,online_offline_ratio,geo_engagement,nps,loyalty_program_usage,clv,brand_advocacy,purchase_intention
50,Male,High,4,4,4,4.0,4,5,5,1,3,4,3,0.3160123365411387,0.4015873160572,49.60899350229614,3,0.22799815076093752,Desktop,173.06916547378722,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Male,High,4,4,4,4.0,4,2,5,1,3,4,6,0.3160123365411387,0.4015873160572,49.60899350229614,3,0.22799815076093752,Desktop,173.06916547378722,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Male,High,4,4,4,4.0,4,5,5,1,3,2,3,0.3160123365411387,0.4015873160572,49.60899350229614,3,0.22799815076093752,Desktop,173.06916547378722,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Female,High,4,4,4,4.0,4,2,5,1,3,4,6,0.3160123365411387,0.4015873160572,49.60899350229614,3,0.22799815076093752,Desktop,173.06916547378722,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Female,High,4,4,4,4.0,4,5,5,1,3,4,3,0.3160123365411387,0.4015873160572,49.60899350229614,3,0.22799815076093752,Desktop,173.06916547378722,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Female,High,4,4,4,4.0,4,5,5,1,3,4,3,0.3160123365411387,0.4015873160572,50.33792979753782,3,0.22799815076093752,Desktop,168.80225400426954,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,0,0.6710498541827016
50,Female,High,4,4,4,4.0,4,5,6,1,3,5,3,0.3160123365411387,0.4015873160572,50.33792979753782,3,0.22799815076093752,Desktop,168.80225400426954,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,1,0.6710498541827016
50,Female,High,4,4,4,4.0,4,5,5,1,3,2,3,0.3160123365411387,0.4015873160572,50.33792979753782,3,0.22799815076093752,Desktop,168.80225400426954,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,0,0.6710498541827016
39,Female,High,4,4,4,4.0,4,5,5,1,3,4,3,0.3160123365411387,0.4015873160572,50.33792979753782,3,0.22799815076093752,Desktop,168.80225400426954,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,0,0.6710498541827016
50,Female,High,4,4,4,4.0,4,5,3,1,3,4,3,0.3160123365411387,0.4015873160572,50.33792979753782,3,0.22799815076093752,Desktop,168.80225400426954,0.4675045494336819,0.026475175303588797,7.837157558926394,1,0.3749429587518795,0.5080851596899675,28,2,720.6004907360964,0,0.6710498541827016
